estudiante_id,nombre,genero,programa_academico,edad,puntaje_saber11,promedio_acumulado,materias_reprobadas,departamento_origen,estrato_socioeconomico,tipo_colegio,ingreso_familiar,desertor
31,Estudiante 31,FEMENINO,MEDICINA,34,258.3381367583589,2.856885918660513,0,ANTIOQUIA,1,NO OFICIAL,4603182.62263175,1
32,Estudiante 32,MASCULINO,INGENIERIA DE SISTEMAS,26,304.5610520195948,3.3960324249356617,1,CUNDINAMARCA,2,OFICIAL,1260009.1093311857,0
33,Estudiante 33,MASCULINO,DERECHO,20,251.29346975524396,4.392941190121686,0,VALLE DEL CAUCA,2,OFICIAL,3000875.335589951,0
34,Estudiante 34,FEMENINO,ADMINISTRACION DE EMPRESAS,20,335.4846878242785,2.618998063079543,0,BOGOTA D.C.,1,OFICIAL,691389.3549810736,1
35,Estudiante 35,FEMENINO,ADMINISTRACION DE EMPRESAS,23,307.94192896631813,4.391131544607636,1,ANTIOQUIA,1,OFICIAL,940288.998285212,0
36,Estudiante 36,FEMENINO,PSICOLOGIA,25,303.7048449022689,3.354980929150106,0,BOGOTA D.C.,1,OFICIAL,4450548.752954482,0
37,Estudiante 37,MASCULINO,MEDICINA,21,329.6564106992581,2.097347099938908,1,VALLE DEL CAUCA,6,OFICIAL,3537300.07397392,0
38,Estudiante 38,MASCULINO,DERECHO,30,287.602036928922,2.679960959910256,1,ANTIOQUIA,3,OFICIAL,3023447.6950576417,0
39,Estudiante 39,FEMENINO,PSICOLOGIA,31,341.1309881648192,2.921913477358884,1,CUNDINAMARCA,4,OFICIAL,500000.0,1
40,Estudiante 40,MASCULINO,DERECHO,32,257.3199807259739,3.1256424195303545,0,ATLANTICO,1,OFICIAL,1670660.6928449406,0
41,Estudiante 41,MASCULINO,MEDICINA,23,363.53444335025375,3.437172044824797,0,CUNDINAMARCA,5,OFICIAL,3410221.0046300306,0
42,Estudiante 42,FEMENINO,ADMINISTRACION DE EMPRESAS,23,275.2089967850316,1.877911922143057,0,CUNDINAMARCA,1,OFICIAL,500000.0,1
43,Estudiante 43,MASCULINO,INGENIERIA DE SISTEMAS,24,223.6719419536985,3.612082635486592,0,ATLANTICO,2,OFICIAL,1969171.915137105,0
44,Estudiante 44,FEMENINO,ADMINISTRACION DE EMPRESAS,17,285.2159291191771,2.8669456950050694,0,ATLANTICO,3,OFICIAL,3649980.565928976,0
45,Estudiante 45,MASCULINO,PSICOLOGIA,30,280.1114311235606,4.334313542960635,2,SANTANDER,2,OFICIAL,500000.0,1
46,Estudiante 46,FEMENINO,INGENIERIA DE SISTEMAS,33,284.87667062324834,3.3378939675536152,0,ATLANTICO,2,OFICIAL,500000.0,0
47,Estudiante 47,MASCULINO,PSICOLOGIA,18,310.4241606967792,4.065707703039638,0,ANTIOQUIA,1,NO OFICIAL,500000.0,0
48,Estudiante 48,FEMENINO,MEDICINA,32,349.40290623997225,4.166209387948576,0,BOGOTA D.C.,1,OFICIAL,3001727.8174172686,0
49,Estudiante 49,FEMENINO,INGENIERIA DE SISTEMAS,19,291.37323387462885,4.14996394607973,1,SANTANDER,3,NO OFICIAL,1664502.2067056466,0
50,Estudiante 50,MASCULINO,PSICOLOGIA,19,268.87720935814946,3.1601559542225086,2,SANTANDER,3,NO OFICIAL,3817072.939694672,0
51,Estudiante 51,FEMENINO,MEDICINA,29,249.30539344722916,3.1524799053672057,1,BOGOTA D.C.,3,OFICIAL,2681527.577851922,0
52,Estudiante 52,FEMENINO,ADMINISTRACION DE EMPRESAS,24,278.93177439109303,3.365016020427011,0,SANTANDER,2,OFICIAL,5320802.07690706,0
53,Estudiante 53,FEMENINO,MEDICINA,24,215.04788223373413,3.881742425227355,0,ATLANTICO,3,NO OFICIAL,643776.7026259777,0
54,Estudiante 54,FEMENINO,DERECHO,33,267.36901079176374,3.193582838147502,0,CUNDINAMARCA,1,NO OFICIAL,2997657.5576636475,0
55,Estudiante 55,FEMENINO,MEDICINA,25,355.9824253137984,3.428442515845852,0,VALLE DEL CAUCA,1,OFICIAL,1307177.8434630246,0
56,Estudiante 56,FEMENINO,MEDICINA,19,262.94883579397094,3.6641562898036697,0,ATLANTICO,6,NO OFICIAL,3400319.048722044,0
57,Estudiante 57,MASCULINO,DERECHO,27,328.2922137360137,2.95706484437128,1,CUNDINAMARCA,1,NO OFICIAL,2679903.83540926,1
58,Estudiante 58,MASCULINO,PSICOLOGIA,23,244.80830595861795,2.9191350270025294,0,CUNDINAMARCA,3,OFICIAL,1010318.7642694288,1
59,Estudiante 59,MASCULINO,PSICOLOGIA,17,379.6993154689749,3.4050416711576057,0,SANTANDER,1,NO OFICIAL,2264271.630836686,0
60,Estudiante 60,MASCULINO,MEDICINA,28,382.692302987912,3.4845072889709847,1,ANTIOQUIA,3,OFICIAL,2609647.1158174765,0
61,Estudiante 61,MASCULINO,DERECHO,31,326.59597004519446,3.7603312880009856,2,ANTIOQUIA,3,OFICIAL,1601036.5900071624,0
62,Estudiante 62,MASCULINO,DERECHO,17,389.6063670739585,3.9031319449709336,1,SANTANDER,1,NO OFICIAL,3590750.8224753654,0
63,Estudiante 63,FEMENINO,ADMINISTRACION DE EMPRESAS,26,316.0106838717448,2.840562307657011,0,SANTANDER,2,NO OFICIAL,953361.074996628,1
64,Estudiante 64,MASCULINO,PSICOLOGIA,25,334.58327013673,3.012749040833861,1,BOGOTA D.C.,3,OFICIAL,5636512.837049745,0
65,Estudiante 65,MASCULINO,INGENIERIA DE SISTEMAS,30,356.78702445291907,2.9175486274621387,0,BOGOTA D.C.,2,OFICIAL,3930535.4509402825,1
66,Estudiante 66,FEMENINO,PSICOLOGIA,32,308.08733038943024,4.347468440954853,0,VALLE DEL CAUCA,1,OFICIAL,3023111.6785803046,0
67,Estudiante 67,MASCULINO,PSICOLOGIA,23,230.14301422867223,3.427837645878479,0,VALLE DEL CAUCA,3,NO OFICIAL,6767971.412045785,0
68,Estudiante 68,FEMENINO,ADMINISTRACION DE EMPRESAS,33,335.5033509855479,3.509677577147013,1,VALLE DEL CAUCA,1,OFICIAL,2036051.761160103,0
69,Estudiante 69,MASCULINO,INGENIERIA DE SISTEMAS,24,278.7663182504941,3.534664618408108,1,VALLE DEL CAUCA,4,NO OFICIAL,3417063.8013465204,0
70,Estudiante 70,FEMENINO,ADMINISTRACION DE EMPRESAS,23,282.1111580570044,3.0705979917694166,1,CUNDINAMARCA,2,NO OFICIAL,2834020.695398812,0
71,Estudiante 71,FEMENINO,INGENIERIA DE SISTEMAS,29,313.405271241541,4.438561711367618,0,CUNDINAMARCA,1,OFICIAL,3696201.539811736,0
72,Estudiante 72,MASCULINO,MEDICINA,33,325.48263958728165,3.746615992891237,1,BOGOTA D.C.,3,OFICIAL,4744174.550599931,0
73,Estudiante 73,MASCULINO,INGENIERIA DE SISTEMAS,27,306.7560585302798,3.523754317866769,0,ANTIOQUIA,2,OFICIAL,3323424.064917039,0
74,Estudiante 74,FEMENINO,ADMINISTRACION DE EMPRESAS,34,328.6078291270789,2.8368461473096604,0,SANTANDER,2,OFICIAL,4062690.842972799,1
75,Estudiante 75,FEMENINO,PSICOLOGIA,29,268.1914289672912,2.802840505006253,1,ANTIOQUIA,2,OFICIAL,1674418.0144801128,1
76,Estudiante 76,FEMENINO,INGENIERIA DE SISTEMAS,32,298.07832923745224,3.314655481036539,1,ATLANTICO,2,OFICIAL,2190774.777304302,0
77,Estudiante 77,FEMENINO,INGENIERIA DE SISTEMAS,18,338.2088452702892,3.080004923856902,0,CUNDINAMARCA,2,OFICIAL,4957431.340394505,0
78,Estudiante 78,MASCULINO,DERECHO,22,379.7756029396522,2.859533392672069,1,VALLE DEL CAUCA,1,OFICIAL,3395284.24529404,1
79,Estudiante 79,MASCULINO,PSICOLOGIA,32,395.6896015037944,3.277425188257067,2,VALLE DEL CAUCA,2,OFICIAL,2872485.467287283,0
80,Estudiante 80,MASCULINO,MEDICINA,27,319.4839507227479,3.3701431830344664,0,ATLANTICO,2,OFICIAL,1370133.686374724,0
81,Estudiante 81,FEMENINO,ADMINISTRACION DE EMPRESAS,24,337.80044220355234,3.585071252276162,0,ANTIOQUIA,3,OFICIAL,3949894.1217024256,0
82,Estudiante 82,FEMENINO,MEDICINA,30,389.1710624166836,3.1976483171754424,2,VALLE DEL CAUCA,3,OFICIAL,1327801.8685263095,0
83,Estudiante 83,MASCULINO,PSICOLOGIA,33,269.8123783469928,2.895439583203981,0,ANTIOQUIA,2,OFICIAL,885751.216344841,1
84,Estudiante 84,MASCULINO,INGENIERIA DE SISTEMAS,28,328.33649337206623,2.916247468405252,0,SANTANDER,3,OFICIAL,2672388.6265433817,0
85,Estudiante 85,MASCULINO,INGENIERIA DE SISTEMAS,23,334.57543272687656,4.227783637535713,1,ATLANTICO,3,OFICIAL,500000.0,0
86,Estudiante 86,MASCULINO,PSICOLOGIA,29,365.1537646234535,2.748945388182954,0,ANTIOQUIA,2,NO OFICIAL,3416615.074556462,1
87,Estudiante 87,FEMENINO,INGENIERIA DE SISTEMAS,23,248.82863787587,3.7179093789747615,0,SANTANDER,3,OFICIAL,3065416.2951119323,0
88,Estudiante 88,FEMENINO,INGENIERIA DE SISTEMAS,29,257.7267397289767,3.811727797864637,1,ANTIOQUIA,2,OFICIAL,1970794.6620462092,0
89,Estudiante 89,FEMENINO,INGENIERIA DE SISTEMAS,22,300.96219949971174,3.427234714498599,1,ANTIOQUIA,4,NO OFICIAL,2106822.762159944,0
90,Estudiante 90,MASCULINO,ADMINISTRACION DE EMPRESAS,27,316.9977448044736,4.560697435043108,0,VALLE DEL CAUCA,1,OFICIAL,2321018.6430004025,0
91,Estudiante 91,MASCULINO,ADMINISTRACION DE EMPRESAS,26,350.5288779180213,3.80103139581662,2,BOGOTA D.C.,2,OFICIAL,1316308.9336789874,1
92,Estudiante 92,FEMENINO,DERECHO,26,323.2894699115522,4.60574182898279,0,CUNDINAMARCA,3,NO OFICIAL,2776858.94124744,0
93,Estudiante 93,FEMENINO,MEDICINA,28,293.1864046450372,3.1093615988510765,0,ANTIOQUIA,1,NO OFICIAL,2125907.604421728,0
94,Estudiante 94,FEMENINO,PSICOLOGIA,33,318.74076501402635,3.119632754063949,0,ANTIOQUIA,1,NO OFICIAL,2668678.229932928,0
95,Estudiante 95,FEMENINO,PSICOLOGIA,17,313.5470014323503,3.816522295208009,1,ANTIOQUIA,2,NO OFICIAL,2266407.1219978854,0
96,Estudiante 96,FEMENINO,PSICOLOGIA,30,378.5257393494505,3.3431206176084785,0,BOGOTA D.C.,2,OFICIAL,1971206.9912631288,0
97,Estudiante 97,FEMENINO,DERECHO,33,307.454652460584,4.511399254935211,0,SANTANDER,3,OFICIAL,2917738.935156456,0
98,Estudiante 98,MASCULINO,ADMINISTRACION DE EMPRESAS,30,282.7612463901346,3.705020230178562,0,ATLANTICO,3,OFICIAL,3671649.764397266,0
99,Estudiante 99,MASCULINO,DERECHO,34,320.2324063532324,2.8732554680859708,0,VALLE DEL CAUCA,1,OFICIAL,1712846.282248154,1
100,Estudiante 100,MASCULINO,PSICOLOGIA,27,308.93183937023394,2.4579101548735847,0,BOGOTA D.C.,1,OFICIAL,3093209.9374689367,0
101,Estudiante 101,MASCULINO,MEDICINA,28,229.30529899463977,3.453056844594041,0,SANTANDER,3,NO OFICIAL,3279145.615771286,0
102,Estudiante 102,FEMENINO,INGENIERIA DE SISTEMAS,26,299.2956572270024,3.44652612228006,1,ANTIOQUIA,2,OFICIAL,574204.1769901443,0
103,Estudiante 103,MASCULINO,ADMINISTRACION DE EMPRESAS,20,295.46677895672974,3.688259553985033,0,SANTANDER,3,OFICIAL,3964816.7127307127,0
104,Estudiante 104,FEMENINO,ADMINISTRACION DE EMPRESAS,16,275.5257660399308,4.226414344253541,2,BOGOTA D.C.,1,NO OFICIAL,5584676.995983983,1
105,Estudiante 105,FEMENINO,DERECHO,18,346.60124794303374,4.147467982396356,0,BOGOTA D.C.,2,NO OFICIAL,2367856.464006182,0
106,Estudiante 106,MASCULINO,ADMINISTRACION DE EMPRESAS,34,264.64441815246016,3.1526593805981404,0,BOGOTA D.C.,2,OFICIAL,2243206.8869439554,0
107,Estudiante 107,MASCULINO,PSICOLOGIA,22,320.5028378786042,2.723708358917347,0,ATLANTICO,2,NO OFICIAL,2180490.7576069785,1
108,Estudiante 108,FEMENINO,PSICOLOGIA,27,293.34643500703214,2.7595273189945577,0,CUNDINAMARCA,2,NO OFICIAL,3430908.6321989554,0
109,Estudiante 109,MASCULINO,DERECHO,30,304.8462752541052,3.057918976807173,0,VALLE DEL CAUCA,2,OFICIAL,3266167.7899747174,0
110,Estudiante 110,MASCULINO,PSICOLOGIA,20,318.53038309706403,3.2799610711765883,1,ATLANTICO,2,OFICIAL,500000.0,0
111,Estudiante 111,MASCULINO,MEDICINA,30,241.1591527249049,3.6830372833791,0,ATLANTICO,1,OFICIAL,1200818.424648757,1
112,Estudiante 112,MASCULINO,DERECHO,23,308.62474012806524,3.019419441862412,0,CUNDINAMARCA,1,OFICIAL,3260969.274837531,0
113,Estudiante 113,FEMENINO,MEDICINA,25,403.0026370370943,3.668235182667989,0,ATLANTICO,2,OFICIAL,2282467.3451803736,0
114,Estudiante 114,FEMENINO,INGENIERIA DE SISTEMAS,31,229.94564943545743,3.717224087515431,1,BOGOTA D.C.,2,NO OFICIAL,750823.1391407202,0
115,Estudiante 115,FEMENINO,MEDICINA,23,297.40764163280227,3.586006329557533,2,BOGOTA D.C.,2,NO OFICIAL,4750390.270432025,0
116,Estudiante 116,FEMENINO,INGENIERIA DE SISTEMAS,16,350.54576961707187,2.822826201792383,0,SANTANDER,2,NO OFICIAL,1300430.10061303,1
117,Estudiante 117,FEMENINO,INGENIERIA DE SISTEMAS,27,313.57286615791185,3.780696035141575,2,ANTIOQUIA,3,NO OFICIAL,2553665.682995392,0
118,Estudiante 118,MASCULINO,MEDICINA,20,330.9585128452215,4.748761777260034,1,ATLANTICO,4,NO OFICIAL,2242721.33285654,0
119,Estudiante 119,FEMENINO,DERECHO,18,193.09502950083228,3.647538096147743,1,ANTIOQUIA,2,OFICIAL,881966.798574163,0
120,Estudiante 120,FEMENINO,PSICOLOGIA,16,326.9212218583478,1.7281549396092382,0,VALLE DEL CAUCA,1,OFICIAL,2777432.203270649,1
121,Estudiante 121,FEMENINO,PSICOLOGIA,19,265.72403071948804,4.244527743228142,1,BOGOTA D.C.,1,NO OFICIAL,3088160.325249129,0
122,Estudiante 122,FEMENINO,INGENIERIA DE SISTEMAS,23,313.9444778062416,3.0783513339803683,0,SANTANDER,3,OFICIAL,1798485.9522555582,0
123,Estudiante 123,MASCULINO,INGENIERIA DE SISTEMAS,18,298.6754371090729,4.859427614297415,0,VALLE DEL CAUCA,2,OFICIAL,1995711.6034157767,0
124,Estudiante 124,MASCULINO,DERECHO,25,402.5249863122735,3.569818070819576,2,SANTANDER,1,OFICIAL,3400730.5641439203,1
125,Estudiante 125,MASCULINO,ADMINISTRACION DE EMPRESAS,17,324.6012895694644,2.4891795836085047,0,CUNDINAMARCA,3,NO OFICIAL,500000.0,1
126,Estudiante 126,MASCULINO,MEDICINA,26,294.93192768317465,2.261181506024749,1,BOGOTA D.C.,1,OFICIAL,1232494.2246284182,1
127,Estudiante 127,FEMENINO,INGENIERIA DE SISTEMAS,25,232.06382583359004,4.423844457605528,0,VALLE DEL CAUCA,2,NO OFICIAL,2820152.3447985686,0
128,Estudiante 128,FEMENINO,PSICOLOGIA,29,305.4516105832453,4.163542991550363,1,CUNDINAMARCA,2,OFICIAL,1709891.9095148256,0
129,Estudiante 129,MASCULINO,DERECHO,22,337.045299525607,4.835611331460014,0,VALLE DEL CAUCA,3,OFICIAL,1688456.4044058225,0
130,Estudiante 130,FEMENINO,MEDICINA,17,296.37516486813496,3.506554691344133,0,SANTANDER,1,OFICIAL,3852538.819294253,0
131,Estudiante 131,MASCULINO,DERECHO,24,277.24546380281515,3.466082069972192,0,CUNDINAMARCA,4,NO OFICIAL,1550013.5769434774,0
132,Estudiante 132,MASCULINO,MEDICINA,31,274.2336001269157,3.2703687247048654,1,CUNDINAMARCA,3,OFICIAL,5468767.376670735,0
133,Estudiante 133,MASCULINO,MEDICINA,28,324.08136459548945,3.105025855244468,1,BOGOTA D.C.,1,NO OFICIAL,500000.0,0
134,Estudiante 134,MASCULINO,INGENIERIA DE SISTEMAS,24,334.17245726891207,3.264542267325311,0,ANTIOQUIA,1,OFICIAL,500000.0,0
135,Estudiante 135,FEMENINO,DERECHO,19,361.2544551894504,3.630477999394418,0,SANTANDER,2,OFICIAL,3818404.242202687,0
136,Estudiante 136,MASCULINO,DERECHO,25,255.2250048055339,2.993659527852739,1,SANTANDER,3,OFICIAL,1024073.1109419276,1
137,Estudiante 137,FEMENINO,PSICOLOGIA,27,323.6689901287928,2.49842639187561,2,CUNDINAMARCA,3,OFICIAL,1049389.617590509,1
138,Estudiante 138,FEMENINO,PSICOLOGIA,32,294.523322051196,3.595925980408506,1,CUNDINAMARCA,2,OFICIAL,3977099.9107295154,0
139,Estudiante 139,MASCULINO,INGENIERIA DE SISTEMAS,29,295.8494607915024,2.980282640783941,1,BOGOTA D.C.,4,OFICIAL,1754097.1209303085,0
140,Estudiante 140,FEMENINO,INGENIERIA DE SISTEMAS,29,318.0821634315301,1.5563373650359589,0,ANTIOQUIA,1,NO OFICIAL,3865542.723797357,1
141,Estudiante 141,FEMENINO,ADMINISTRACION DE EMPRESAS,17,318.34453141312264,3.8315404343942063,1,SANTANDER,1,OFICIAL,1584382.085871311,0
142,Estudiante 142,MASCULINO,PSICOLOGIA,26,323.7945647606208,2.835164577129783,0,ATLANTICO,4,OFICIAL,3043797.2829629597,1
143,Estudiante 143,FEMENINO,MEDICINA,31,252.41379635118852,3.897073672814441,2,ATLANTICO,3,NO OFICIAL,1732866.2800323684,0
144,Estudiante 144,MASCULINO,DERECHO,34,266.2584866775094,3.882708863909589,1,ANTIOQUIA,2,OFICIAL,1120281.5861945674,0
145,Estudiante 145,MASCULINO,INGENIERIA DE SISTEMAS,21,366.8640723982958,3.6701540069137,0,VALLE DEL CAUCA,3,OFICIAL,5095902.036302077,0
146,Estudiante 146,MASCULINO,DERECHO,34,290.0742389633622,4.998090704213897,0,BOGOTA D.C.,5,OFICIAL,4174693.264539739,0
147,Estudiante 147,FEMENINO,DERECHO,20,313.77064791080534,3.417168890016573,0,ANTIOQUIA,3,OFICIAL,1410038.97560098,0
148,Estudiante 148,FEMENINO,ADMINISTRACION DE EMPRESAS,19,347.45998404194336,3.328616259500847,1,ATLANTICO,3,OFICIAL,2232405.9447783423,0
149,Estudiante 149,MASCULINO,PSICOLOGIA,30,320.85493825623684,3.9102034528501504,0,CUNDINAMARCA,3,NO OFICIAL,4714340.19761692,0
150,Estudiante 150,MASCULINO,INGENIERIA DE SISTEMAS,19,324.59351839374176,3.4667315827317244,0,ATLANTICO,1,OFICIAL,1017669.3774077172,0
151,Estudiante 151,FEMENINO,DERECHO,25,340.25599556596904,4.196296122436405,0,CUNDINAMARCA,3,OFICIAL,1098837.9447878674,0
152,Estudiante 152,MASCULINO,INGENIERIA DE SISTEMAS,18,204.750130759635,2.7387164554546866,0,BOGOTA D.C.,1,OFICIAL,3205090.708457282,1
153,Estudiante 153,MASCULINO,MEDICINA,20,277.9522430177759,2.748695331521396,1,CUNDINAMARCA,4,NO OFICIAL,5905741.840391832,0
154,Estudiante 154,FEMENINO,ADMINISTRACION DE EMPRESAS,21,321.0872608424816,3.95948569479573,2,ANTIOQUIA,2,OFICIAL,2580747.3278011745,1
155,Estudiante 155,FEMENINO,MEDICINA,23,362.44399381759456,2.8011134363968377,1,CUNDINAMARCA,3,NO OFICIAL,4074716.8592300513,0
156,Estudiante 156,MASCULINO,INGENIERIA DE SISTEMAS,22,302.9743001845098,3.8654591638656286,0,VALLE DEL CAUCA,2,NO OFICIAL,973840.365566998,0
157,Estudiante 157,FEMENINO,INGENIERIA DE SISTEMAS,25,261.9877592209757,3.72200170772622,0,ANTIOQUIA,1,NO OFICIAL,3041578.5129040503,0
158,Estudiante 158,FEMENINO,PSICOLOGIA,21,263.1861277675274,3.083307028383402,0,BOGOTA D.C.,2,NO OFICIAL,1960577.9322226583,0
159,Estudiante 159,MASCULINO,DERECHO,29,339.7737541553884,3.720302096140061,0,ANTIOQUIA,6,OFICIAL,5299937.617940124,0
160,Estudiante 160,FEMENINO,DERECHO,19,290.2001887923651,2.7592445325294563,1,VALLE DEL CAUCA,5,NO OFICIAL,4898036.266619696,0
161,Estudiante 161,MASCULINO,MEDICINA,28,299.67599793943486,2.90006004424178,1,BOGOTA D.C.,2,OFICIAL,5919125.105277043,1
162,Estudiante 162,FEMENINO,ADMINISTRACION DE EMPRESAS,32,327.6763587197544,3.3576873569527605,1,ATLANTICO,6,NO OFICIAL,1456766.066353888,0
163,Estudiante 163,FEMENINO,DERECHO,22,169.43143427878894,3.5473566914433325,0,VALLE DEL CAUCA,3,OFICIAL,2553247.311108913,0
164,Estudiante 164,FEMENINO,PSICOLOGIA,19,390.0165380178637,3.317816877807285,0,BOGOTA D.C.,3,NO OFICIAL,3062750.386486092,0
165,Estudiante 165,MASCULINO,MEDICINA,29,267.1016774227022,3.7598695783238663,0,CUNDINAMARCA,1,OFICIAL,1515298.5455111736,0
166,Estudiante 166,FEMENINO,MEDICINA,18,310.88713662631073,3.733079849028975,0,ANTIOQUIA,4,OFICIAL,2696582.799591104,0
167,Estudiante 167,MASCULINO,PSICOLOGIA,20,223.2886343926678,4.417620085008887,1,BOGOTA D.C.,2,NO OFICIAL,3863467.054538244,0
168,Estudiante 168,MASCULINO,ADMINISTRACION DE EMPRESAS,31,280.98565003177333,3.4428287917129974,1,ANTIOQUIA,4,OFICIAL,1674451.7084027438,0
169,Estudiante 169,MASCULINO,PSICOLOGIA,19,356.01096208642934,4.216738058710477,1,CUNDINAMARCA,3,OFICIAL,1444965.3103944615,0
170,Estudiante 170,FEMENINO,ADMINISTRACION DE EMPRESAS,17,213.77247691503544,4.052435307736336,0,BOGOTA D.C.,3,OFICIAL,1345516.3357452,0
171,Estudiante 171,FEMENINO,PSICOLOGIA,33,350.67900392351135,4.876386369975888,2,ATLANTICO,3,NO OFICIAL,500000.0,0
172,Estudiante 172,MASCULINO,PSICOLOGIA,34,287.6836756695427,3.4236451880586354,0,VALLE DEL CAUCA,2,OFICIAL,3780989.300640276,0
173,Estudiante 173,FEMENINO,INGENIERIA DE SISTEMAS,34,321.92239980990865,3.247784767128207,0,BOGOTA D.C.,2,OFICIAL,1441497.4964111792,0
174,Estudiante 174,MASCULINO,MEDICINA,32,329.58859860683,4.25461653334624,0,CUNDINAMARCA,2,OFICIAL,1283339.0046267996,0
175,Estudiante 175,FEMENINO,PSICOLOGIA,29,319.86396747709165,3.731259543044757,1,BOGOTA D.C.,1,OFICIAL,3293604.75275911,0
